"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","2330","Census Tract 530602","1/1/2018 - 1/31/2018, Every day, Daily Average",709,454,1105
"1380","Census Tract 224010","2331","Census Tract 530700","1/1/2018 - 1/31/2018, Every day, Daily Average",699,429,1138
"1380","Census Tract 224010","2332","Census Tract 530801","1/1/2018 - 1/31/2018, Every day, Daily Average",615,388,974
"1380","Census Tract 224010","2333","Census Tract 530802","1/1/2018 - 1/31/2018, Every day, Daily Average",661,420,1039
"1380","Census Tract 224010","2334","Census Tract 530901","1/1/2018 - 1/31/2018, Every day, Daily Average",934,592,1472
"1380","Census Tract 224010","2335","Census Tract 530902","1/1/2018 - 1/31/2018, Every day, Daily Average",1033,685,1557
"1380","Census Tract 224010","2336","Census Tract 531000","1/1/2018 - 1/31/2018, Every day, Daily Average",591,360,969
"1380","Census Tract 224010","2337","Census Tract 531101","1/1/2018 - 1/31/2018, Every day, Daily Average",505,305,835
"1380","Census Tract 224010","2338","Census Tract 531102","1/1/2018 - 1/31/2018, Every day, Daily Average",522,321,847
"1380","Census Tract 224010","2339","Census Tract 531201","1/1/2018 - 1/31/2018, Every day, Daily Average",501,313,801
"1380","Census Tract 224010","2340","Census Tract 531202","1/1/2018 - 1/31/2018, Every day, Daily Average",688,453,1044
"1380","Census Tract 224010","2341","Census Tract 531301","1/1/2018 - 1/31/2018, Every day, Daily Average",749,465,1204
"1380","Census Tract 224010","2342","Census Tract 531302","1/1/2018 - 1/31/2018, Every day, Daily Average",498,316,783
"1380","Census Tract 224010","2343","Census Tract 531502","1/1/2018 - 1/31/2018, Every day, Daily Average",810,512,1280
"1380","Census Tract 224010","2344","Census Tract 531503","1/1/2018 - 1/31/2018, Every day, Daily Average",577,361,921
"1380","Census Tract 224010","2345","Census Tract 531504","1/1/2018 - 1/31/2018, Every day, Daily Average",909,581,1419
"1380","Census Tract 224010","2346","Census Tract 531602","1/1/2018 - 1/31/2018, Every day, Daily Average",929,611,1410
"1380","Census Tract 224010","2347","Census Tract 531603","1/1/2018 - 1/31/2018, Every day, Daily Average",969,646,1453
"1380","Census Tract 224010","2348","Census Tract 531604","1/1/2018 - 1/31/2018, Every day, Daily Average",990,660,1483
"1380","Census Tract 224010","2349","Census Tract 531701","1/1/2018 - 1/31/2018, Every day, Daily Average",1072,717,1601
"1380","Census Tract 224010","2350","Census Tract 531702","1/1/2018 - 1/31/2018, Every day, Daily Average",1023,679,1539
"1380","Census Tract 224010","2351","Census Tract 531800","1/1/2018 - 1/31/2018, Every day, Daily Average",1111,764,1613
"1380","Census Tract 224010","2352","Census Tract 531901","1/1/2018 - 1/31/2018, Every day, Daily Average",1220,829,1793
"1380","Census Tract 224010","2353","Census Tract 531902","1/1/2018 - 1/31/2018, Every day, Daily Average",1316,894,1935
"1380","Census Tract 224010","2354","Census Tract 532400","1/1/2018 - 1/31/2018, Every day, Daily Average",868,552,1362
"1380","Census Tract 224010","2355","Census Tract 532700","1/1/2018 - 1/31/2018, Every day, Daily Average",1076,709,1632
"1380","Census Tract 224010","2356","Census Tract 532800","1/1/2018 - 1/31/2018, Every day, Daily Average",1084,766,1533
"1380","Census Tract 224010","2357","Census Tract 532900","1/1/2018 - 1/31/2018, Every day, Daily Average",1168,837,1628
"1380","Census Tract 224010","2358","Census Tract 533001","1/1/2018 - 1/31/2018, Every day, Daily Average",1199,845,1700
"1380","Census Tract 224010","2359","Census Tract 533002","1/1/2018 - 1/31/2018, Every day, Daily Average",1158,787,1702
"1380","Census Tract 224010","2360","Census Tract 533300","1/1/2018 - 1/31/2018, Every day, Daily Average",1047,646,1695
"1380","Census Tract 224010","2361","Census Tract 534700","1/1/2018 - 1/31/2018, Every day, Daily Average",1459,968,2198
"1380","Census Tract 224010","2362","Census Tract 534802","1/1/2018 - 1/31/2018, Every day, Daily Average",1266,863,1856
"1380","Census Tract 224010","2363","Census Tract 534803","1/1/2018 - 1/31/2018, Every day, Daily Average",1218,816,1817
"1380","Census Tract 224010","2364","Census Tract 534804","1/1/2018 - 1/31/2018, Every day, Daily Average",1280,846,1934
"1380","Census Tract 224010","2365","Census Tract 534900","1/1/2018 - 1/31/2018, Every day, Daily Average",1091,737,1612
"1380","Census Tract 224010","2366","Census Tract 535001","1/1/2018 - 1/31/2018, Every day, Daily Average",1175,853,1618
"1380","Census Tract 224010","2367","Census Tract 535002","1/1/2018 - 1/31/2018, Every day, Daily Average",1297,946,1776
"1380","Census Tract 224010","2368","Census Tract 535101","1/1/2018 - 1/31/2018, Every day, Daily Average",1353,974,1879
"1380","Census Tract 224010","2369","Census Tract 535102","1/1/2018 - 1/31/2018, Every day, Daily Average",1341,940,1911
"1380","Census Tract 224010","2370","Census Tract 535200","1/1/2018 - 1/31/2018, Every day, Daily Average",1305,918,1855
"1380","Census Tract 224010","2371","Census Tract 535300","1/1/2018 - 1/31/2018, Every day, Daily Average",1255,848,1857
"1380","Census Tract 224010","2372","Census Tract 535400","1/1/2018 - 1/31/2018, Every day, Daily Average",1380,943,2018
"1380","Census Tract 224010","2373","Census Tract 536200","1/1/2018 - 1/31/2018, Every day, Daily Average",1241,824,1867
"1380","Census Tract 224010","2374","Census Tract 540000","1/1/2018 - 1/31/2018, Every day, Daily Average",1196,796,1796
"1380","Census Tract 224010","2375","Census Tract 540400","1/1/2018 - 1/31/2018, Every day, Daily Average",1497,976,2295
"1380","Census Tract 224010","2376","Census Tract 540600","1/1/2018 - 1/31/2018, Every day, Daily Average",1432,915,2239
"1380","Census Tract 224010","2377","Census Tract 540700","1/1/2018 - 1/31/2018, Every day, Daily Average",1321,846,2062
"1380","Census Tract 224010","2378","Census Tract 540800","1/1/2018 - 1/31/2018, Every day, Daily Average",1304,898,1893
"1380","Census Tract 224010","2379","Census Tract 540901","1/1/2018 - 1/31/2018, Every day, Daily Average",988,629,1549
"1380","Census Tract 224010","2380","Census Tract 540902","1/1/2018 - 1/31/2018, Every day, Daily Average",1394,931,2086
"1380","Census Tract 224010","2381","Census Tract 541001","1/1/2018 - 1/31/2018, Every day, Daily Average",1465,1003,2139
"1380","Census Tract 224010","2382","Census Tract 541100","1/1/2018 - 1/31/2018, Every day, Daily Average",1574,1091,2270
"1380","Census Tract 224010","2384","Census Tract 541400","1/1/2018 - 1/31/2018, Every day, Daily Average",1636,1121,2387
"1380","Census Tract 224010","2385","Census Tract 541500","1/1/2018 - 1/31/2018, Every day, Daily Average",1787,1272,2509
"1380","Census Tract 224010","2386","Census Tract 541802","1/1/2018 - 1/31/2018, Every day, Daily Average",1289,906,1833
"1380","Census Tract 224010","2389","Census Tract 542104","1/1/2018 - 1/31/2018, Every day, Daily Average",1627,1075,2461
"1380","Census Tract 224010","2393","Census Tract 543000","1/1/2018 - 1/31/2018, Every day, Daily Average",1452,1041,2023
"1380","Census Tract 224010","2394","Census Tract 543305","1/1/2018 - 1/31/2018, Every day, Daily Average",1782,1230,2579
"1380","Census Tract 224010","2395","Census Tract 543501","1/1/2018 - 1/31/2018, Every day, Daily Average",1320,874,1992
"1380","Census Tract 224010","2396","Census Tract 543502","1/1/2018 - 1/31/2018, Every day, Daily Average",1336,893,1997
"1380","Census Tract 224010","2397","Census Tract 543503","1/1/2018 - 1/31/2018, Every day, Daily Average",1366,937,1990
"1380","Census Tract 224010","2398","Census Tract 543602","1/1/2018 - 1/31/2018, Every day, Daily Average",1450,992,2118
"1380","Census Tract 224010","2399","Census Tract 543603","1/1/2018 - 1/31/2018, Every day, Daily Average",1507,1035,2192
"1380","Census Tract 224010","2413","Census Tract 600100","1/1/2018 - 1/31/2018, Every day, Daily Average",1265,827,1933
"1380","Census Tract 224010","2414","Census Tract 600201","1/1/2018 - 1/31/2018, Every day, Daily Average",1189,775,1822
"1380","Census Tract 224010","2415","Census Tract 600202","1/1/2018 - 1/31/2018, Every day, Daily Average",1280,843,1942
"1380","Census Tract 224010","2416","Census Tract 600302","1/1/2018 - 1/31/2018, Every day, Daily Average",1383,944,2024
"1380","Census Tract 224010","2417","Census Tract 600303","1/1/2018 - 1/31/2018, Every day, Daily Average",1263,861,1850
"1380","Census Tract 224010","2418","Census Tract 600304","1/1/2018 - 1/31/2018, Every day, Daily Average",1342,896,2008
"1380","Census Tract 224010","2419","Census Tract 600400","1/1/2018 - 1/31/2018, Every day, Daily Average",1455,1005,2106
"1380","Census Tract 224010","2420","Census Tract 601302","1/1/2018 - 1/31/2018, Every day, Daily Average",1427,1000,2034
"1380","Census Tract 224010","2421","Census Tract 601501","1/1/2018 - 1/31/2018, Every day, Daily Average",1816,1235,2668
"1380","Census Tract 224010","2422","Census Tract 601502","1/1/2018 - 1/31/2018, Every day, Daily Average",1510,1018,2237
"1380","Census Tract 224010","2423","Census Tract 601600","1/1/2018 - 1/31/2018, Every day, Daily Average",1204,851,1702
"1380","Census Tract 224010","2424","Census Tract 601700","1/1/2018 - 1/31/2018, Every day, Daily Average",1164,815,1662
"1380","Census Tract 224010","2426","Census Tract 601802","1/1/2018 - 1/31/2018, Every day, Daily Average",1393,982,1975
"1380","Census Tract 224010","2427","Census Tract 602200","1/1/2018 - 1/31/2018, Every day, Daily Average",1329,901,1960
"1380","Census Tract 224010","2428","Census Tract 602301","1/1/2018 - 1/31/2018, Every day, Daily Average",1748,1138,2683
"1380","Census Tract 224010","2429","Census Tract 602509","1/1/2018 - 1/31/2018, Every day, Daily Average",1404,986,1999
"1380","Census Tract 224010","2430","Census Tract 602700","1/1/2018 - 1/31/2018, Every day, Daily Average",1014,686,1497
"1380","Census Tract 224010","2431","Census Tract 602801","1/1/2018 - 1/31/2018, Every day, Daily Average",969,649,1446
"1380","Census Tract 224010","2432","Census Tract 602802","1/1/2018 - 1/31/2018, Every day, Daily Average",1252,851,1841
"1380","Census Tract 224010","2433","Census Tract 603702","1/1/2018 - 1/31/2018, Every day, Daily Average",1781,1242,2553
"1380","Census Tract 224010","2434","Census Tract 603704","1/1/2018 - 1/31/2018, Every day, Daily Average",1580,1121,2226
"1380","Census Tract 224010","2452","Census Tract 701100","1/1/2018 - 1/31/2018, Every day, Daily Average",1168,751,1815
"1380","Census Tract 224010","2459","Census Tract 702901","1/1/2018 - 1/31/2018, Every day, Daily Average",1741,1195,2535
"1380","Census Tract 224010","2460","Census Tract 703001","1/1/2018 - 1/31/2018, Every day, Daily Average",1305,875,1944
"1380","Census Tract 224010","2461","Census Tract 703002","1/1/2018 - 1/31/2018, Every day, Daily Average",1328,914,1927
"1380","Census Tract 224010","2462","Census Tract 703100","1/1/2018 - 1/31/2018, Every day, Daily Average",1172,796,1723
"1380","Census Tract 224010","2463","Census Tract 703200","1/1/2018 - 1/31/2018, Every day, Daily Average",1252,913,1716
"1380","Census Tract 224010","2467","Census Tract 800203","1/1/2018 - 1/31/2018, Every day, Daily Average",2665,1877,3782
